Name                           	 Owner Family	Offset  Title                                DataType   MsgType        Format
LG_MF_IN_SAMP                     0x7 	0x6		0x1     "MF In Samples = "                  COMP16Q15  Buffer_E       ""
LG_MF_OUT_SAMP                    0x7	0x6		0x2     "MF Out Samples = "                 COMP16Q15  Buffer_E       ""
LG_MF_OUT_TAPS                    0x7 	0x6		0x3     "MF Out Taps = "                    COMP16Q15  Buffer_E       ""
LG_MF_IN_AR_TAPS		  0x7 	0x6		0x4     "MF In AR Flatt. filter Taps = "    COMP16Q15  Buffer_E       ""
// SF:
LG_SF_IN_TAPS                     0x7 	0x7		0x0     "SF In Taps = "                     COMP16Q15  Buffer_E       ""
LG_SF_OUT_CAUSAL_TAPS             0x7 	0x7		0x1     "SF Out Causal Taps = "             COMP16Q15  Buffer_E       ""
LG_SF_OUT_ANTI_CAUSAL_TAPS        0x7 	0x7		0x2     "SF Out Anti Causl Taps = "         COMP16Q15  Buffer_E       ""

// SCH Detect:
LG_SCHD_IN_FREQ                   0x7 	0x8		0x0     "LG_SCHD_IN_FREQ = "                DEC16      Title+Data     ""
LG_SCHD_IN_SAMP                   0x7 	0x8		0x1     "LG_SCHD_IN_SAMP = "                COMP16Q15  Buffer_E       ""
LG_SCHD_OUT_FREQ                  0x7 	0x8		0x2     "LG_SCHD_OUT_FREQ = "               DEC16      Title+Data     ""
LG_SCHD_OUT_START                 0x7 	0x8		0x3     "LG_SCHD_OUT_START = "              DEC16      Title+Data     ""
LG_SCHD_OUT_SAMP                  0x7 	0x8 		0x4     "LG_SCHD_OUT_SAMP = "               COMP16Q15  Buffer_E       ""
LG_SCHD_OUT_TAPS                  0x7 	0x8		0x5     "LG_SCHD_OUT_TAPS = "               COMP16Q15  Buffer_E       ""


// Noise Whiting filter
LG_NWF_IN_TAPS                    0x7 	0x9		0x0     "NWF In Taps = "                     COMP16Q15  Buffer_E          ""
LG_NWF_IN_SAMP                    0x7 	0x9		0x1     "NWF In Samples = "                  COMP16Q15  Buffer_E          ""
LG_NWF_CAUSAL_IN_SAMP             0x7 	0x9		0x2     "NWF In Causal Samples = "           COMP16Q15  Buffer_E          ""
LG_NWF_ANTI_CAUSAL_IN_SAMP        0x7 	0x9		0x3     "NWF In ACausal Samples = "          COMP16Q15  Buffer_E          ""
LG_NWF_CAUSAL_SF_COEF             0x7 	0x9		0x4     "NWF Causal SF Coef = "              COMP16Q15  Buffer_E          ""
LG_NWF_ANTI_CAUSAL_SF_COEF        0x7 	0x9		0x5     "NWF ACausal SF Coef = "             COMP16Q15  Buffer_E          ""
LG_NWF_CAUSAL_OUT_SAMP            0x7 	0x9		0x6     "NWF Causal Out Samples = "          COMP16Q15  Buffer_E          ""
LG_NWF_ANTI_CAUSAL_OUT_SAMP       0x7 	0x9		0x7     "NWF ACausal Out Samples = "         COMP16Q15  Buffer_E          ""

// Coded BER point:
LG_BER_CONTROL_WORD	  	  0x7 	0xA		0x0	"BER Control Word = "		     HEX16	Formatted	  ""
LG_CODED_BER_DATA 	          0x7 	0xA		0x1     "Coded BER Switched data = " 	     HEX16 	Buffer 	   	  ""
LG_UNCODED_BER_DATA 	          0x7 	0xA		0x2     "Uncoded BER Packed data = "	     HEX16 	Buffer 	   	  ""
